126
ECs_R0001	ECs_R0001	MissingGeneType
ECs_R0024	ECs_R0024	MissingGeneType
ECs_R0025	ECs_R0025	MissingGeneType
ECs_R0002	ECs_R0002	MissingGeneType
ECs_R0003	ECs_R0003	MissingGeneType
ECs_R0026	ECs_R0026	MissingGeneType
ECs_R0027	ECs_R0027	MissingGeneType
ECs_R0028	ECs_R0028	MissingGeneType
ECs_R0030	ECs_R0030	MissingGeneType
ECs_R0031	ECs_R0031	MissingGeneType
ECs_R0032	ECs_R0032	MissingGeneType
ECs_R0033	ECs_R0033	MissingGeneType
ECs_R0034	ECs_R0034	MissingGeneType
ECs_R0035	ECs_R0035	MissingGeneType
ECs_R0036	ECs_R0036	MissingGeneType
ECs_R0037	ECs_R0037	MissingGeneType
ECs_R0038	ECs_R0038	MissingGeneType
ECs_R0039	ECs_R0039	MissingGeneType
ECs_R0040	ECs_R0040	MissingGeneType
ECs_R0041	ECs_R0041	MissingGeneType
ECs_R0042	ECs_R0042	MissingGeneType
ECs_R0043	ECs_R0043	MissingGeneType
ECs_R0044	ECs_R0044	MissingGeneType
ECs_R0045	ECs_R0045	MissingGeneType
ECs_R0046	ECs_R0046	MissingGeneType
ECs_R0047	ECs_R0047	MissingGeneType
ECs_R0048	ECs_R0048	MissingGeneType
ECs_R0049	ECs_R0049	MissingGeneType
ECs_R0050	ECs_R0050	MissingGeneType
ECs_R0051	ECs_R0051	MissingGeneType
ECs_R0052	ECs_R0052	MissingGeneType
ECs_R0053	ECs_R0053	MissingGeneType
ECs_R0054	ECs_R0054	MissingGeneType
ECs_R0055	ECs_R0055	MissingGeneType
ECs_R0056	ECs_R0056	MissingGeneType
ECs_R0057	ECs_R0057	MissingGeneType
ECs_R0058	ECs_R0058	MissingGeneType
ECs_R0059	ECs_R0059	MissingGeneType
ECs_R0060	ECs_R0060	MissingGeneType
ECs_R0061	ECs_R0061	MissingGeneType
ECs_R0062	ECs_R0062	MissingGeneType
ECs_R0063	ECs_R0063	MissingGeneType
ECs_R0064	ECs_R0064	MissingGeneType
ECs_R0065	ECs_R0065	MissingGeneType
ECs_R0066	ECs_R0066	MissingGeneType
ECs_R0067	ECs_R0067	MissingGeneType
ECs_R0068	ECs_R0068	MissingGeneType
ECs_R0069	ECs_R0069	MissingGeneType
ECs_R0070	ECs_R0070	MissingGeneType
ECs_R0071	ECs_R0071	MissingGeneType
ECs_R0072	ECs_R0072	MissingGeneType
ECs_R0073	ECs_R0073	MissingGeneType
ECs_R0074	ECs_R0074	MissingGeneType
ECs_R0075	ECs_R0075	MissingGeneType
ECs_R0076	ECs_R0076	MissingGeneType
ECs_R0077	ECs_R0077	MissingGeneType
ECs_R0078	ECs_R0078	MissingGeneType
ECs_R0079	ECs_R0079	MissingGeneType
ECs_R0080	ECs_R0080	MissingGeneType
ECs_R0081	ECs_R0081	MissingGeneType
ECs_R0082	ECs_R0082	MissingGeneType
ECs_R0083	ECs_R0083	MissingGeneType
ECs_R0084	ECs_R0084	MissingGeneType
ECs_R0004	ECs_R0004	MissingGeneType
ECs_R0005	ECs_R0005	MissingGeneType
ECs_R0085	ECs_R0085	MissingGeneType
ECs_R0006	ECs_R0006	MissingGeneType
ECs_R0023	ECs_R0023	MissingGeneType
ECs_R0086	ECs_R0086	MissingGeneType
ECs_R0087	ECs_R0087	MissingGeneType
ECs_R0088	ECs_R0088	MissingGeneType
ECs_R0089	ECs_R0089	MissingGeneType
ECs_R0090	ECs_R0090	MissingGeneType
ECs_R0091	ECs_R0091	MissingGeneType
ECs_R0092	ECs_R0092	MissingGeneType
ECs_R0093	ECs_R0093	MissingGeneType
ECs_R0094	ECs_R0094	MissingGeneType
ECs_R0095	ECs_R0095	MissingGeneType
ECs_R0096	ECs_R0096	MissingGeneType
ECs_R0097	ECs_R0097	MissingGeneType
ECs_R0098	ECs_R0098	MissingGeneType
ECs_R0099	ECs_R0099	MissingGeneType
ECs_R0007	ECs_R0007	MissingGeneType
ECs_R0100	ECs_R0100	MissingGeneType
ECs_R0008	ECs_R0008	MissingGeneType
ECs_R0009	ECs_R0009	MissingGeneType
ECs_R0101	ECs_R0101	MissingGeneType
ECs_R0102	ECs_R0102	MissingGeneType
