7544
345	1163	1	0	0
2117	2346	1	1	1
2447	2759	1	2	2
4056	4310	1	3	3
4783	5128	1	4	4
5255	6262	1	5	5
7215	8252	2	6	6
11026	11555	2	7	7
12026	12395	2	8	8
12730	12944	2	9	9
13493	14323	2	10	10
15001	16333	2	11	11
16441	16640	2	12	12
17537	18589	2	13	13
18767	19647	2	14	14
25629	25987	2	15	15
27197	28090	1	16	16
33438	34305	2	17	17
35792	36125	1	18	18
40794	41488	1	19	19
40915	41769	2	20	20
41937	43300	1	21	21
43586	43958	1	22	22
47549	48522	1	23	23
48630	49966	1	24	24
50130	50667	2	25	25
50342	50816	1	26	26
50850	51544	2	27	27
51157	51582	1	28	28
52201	53487	2	29	29
54149	54574	2	30	30
55376	56200	2	31	31
56382	57096	2	32	32
58288	59076	1	33	33
60304	61633	1	34	34
62105	62562	1	35	35
62637	63594	2	36	36
64322	64552	2	37	37
64414	64671	1	38	38
65025	65535	1	39	39
70180	71797	2	40	40
71029	71469	1	41	41
71981	72379	2	42	42
72520	72737	2	43	43
76146	76425	1	44	44
76996	77677	1	45	45
81467	82344	2	46	46
83830	84198	2	47	47
85795	86018	1	48	48
89517	89780	1	49	49
90341	90679	2	50	50
90680	91752	2	51	51
90867	91752	1	52	52
90948	94037	1	53	53
91753	92014	2	54	54
94594	94965	1	55	55
95158	96524	2	56	56
98521	98955	2	57	57
99045	101139	2	58	58
101259	101589	2	59	59
102516	102851	1	60	60
103263	103566	1	61	61
104295	105958	2	62	62
106490	107167	2	63	63
107696	108520	2	64	64
108645	109364	1	65	65
109627	112376	1	66	66
112674	113860	1	67	67
114997	115715	2	68	68
118884	121613	1	69	69
124747	125217	2	70	70
125341	126335	2	71	71
130261	130492	2	72	72
131202	135540	1	73	73
135568	135925	1	74	74
136273	137354	2	75	75
139326	139549	2	76	76
139561	140174	2	77	77
142303	144608	2	78	78
144732	146500	1	79	79
146870	148040	2	80	80
148361	149004	1	81	81
149657	149775	1	82	82
150912	151560	2	83	83
151686	151930	2	84	84
152384	152733	2	85	85
156499	157197	1	86	86
157303	157844	1	87	87
159781	160318	1	88	88
161071	162818	1	89	89
162256	164454	2	90	90
165360	165577	2	91	91
166582	167279	1	92	92
167451	168021	1	93	93
169559	170048	1	94	94
170236	174472	1	95	95
170708	170855	1	96	96
175027	175300	1	97	97
175922	176735	1	98	98
176877	177942	2	99	99
178703	179429	2	100	100
180024	180670	2	101	101
181627	182549	1	102	102
182853	183295	1	103	103
184230	184517	1	104	104
186130	186388	1	105	105
187068	187360	1	106	106
188449	190473	2	107	107
194167	195746	1	108	108
195847	196934	1	109	109
198060	198407	1	110	110
199873	200586	2	111	111
201313	201612	2	112	112
202692	203054	1	113	113
203596	204321	2	114	114
203878	204086	1	115	115
204626	204909	2	116	116
205058	206193	2	117	117
206774	209400	1	118	118
213526	215927	2	119	119
213840	214817	1	120	120
216145	216382	2	121	121
