CU329670.1	434268	434337	+
CU329670.1	1096406	1096421	+
CU329670.1	1314960	1314983	-
CU329670.1	1485015	1485023	-
CU329670.1	1527134	1527143	-
CU329670.1	1704621	1704628	+
CU329670.1	1746502	1746511	+
CU329670.1	2214769	2214776	-
CU329670.1	2327499	2327549	-
CU329670.1	2562324	2562373	-
CU329670.1	2578464	2578488	+
CU329670.1	2684719	2684726	-
CU329670.1	2802805	2802820	-
CU329670.1	2886784	2886790	-
CU329670.1	3084760	3084815	-
CU329670.1	3086349	3086356	+
CU329670.1	3443091	3443108	+
CU329670.1	3591985	3592002	+
CU329670.1	3710775	3710783	-
CU329670.1	4265186	4265200	+
CU329670.1	4797013	4797023	+
CU329670.1	4937014	4937199	-
CU329671.1	658489	658495	+
CU329671.1	1160929	1160958	-
CU329671.1	1402488	1402503	-
CU329671.1	1598111	1598117	-
CU329671.1	1598549	1598558	+
CU329671.1	1598789	1598807	-
CU329671.1	1599745	1599751	+
CU329671.1	1601003	1601011	-
CU329671.1	1619210	1619218	-
CU329671.1	1629197	1629205	+
CU329671.1	1643887	1643896	+
CU329671.1	1644127	1644145	-
CU329671.1	1645083	1645090	+
CU329671.1	1646341	1646349	-
CU329671.1	3350635	3350643	+
CU329671.1	3814173	3814180	+
CU329671.1	3814596	3814605	+
CU329671.1	3874462	3874797	-
CU329672.1	1065814	1065822	-
CU329672.1	1071132	1071139	+
CU329672.1	1092972	1092980	+
CU329672.1	1096129	1096147	-
CU329672.1	1102847	1102865	+
CU329672.1	1106014	1106022	-
CU329672.1	1139572	1139579	-
CU329672.1	1253232	1253242	+
CU329672.1	1475073	1475080	+
CU329672.1	1689750	1689764	+
CU329672.1	2072119	2072129	+
