51	100
434267	434336	0	0	0	1
1096405	1096420	0	0	0	1
1314957	1314980	0	2	0	2
1485014	1485022	0	0	0	2
1527131	1527140	0	2	0	2
1704618	1704625	0	2	0	1
1746501	1746510	0	0	0	1
2214768	2214775	0	0	0	2
2327498	2327548	2	0	0	2
2562323	2562372	2	0	0	2
2578463	2578487	0	0	0	1
2684718	2684725	0	0	0	2
2802804	2802819	0	0	0	2
2886783	2886789	0	0	1	2
3084759	3084814	2	0	1	2
3086348	3086355	0	0	0	1
3443090	3443107	0	0	0	1
3591984	3592001	0	0	0	1
3710774	3710782	0	0	0	2
4265185	4265199	0	0	0	1
4797012	4797022	0	0	1	1
4937013	4937198	2	0	1	2
6425656	6425662	0	0	0	1
6928096	6928125	0	0	0	2
7169655	7169670	0	0	0	2
7365278	7365284	0	0	0	2
7365716	7365725	0	0	0	1
7365955	7365973	0	1	0	2
7366912	7366918	0	0	0	1
7368170	7368178	0	0	0	2
7386377	7386385	0	0	0	2
7396364	7396372	0	0	0	1
7411054	7411063	0	0	0	1
7411293	7411311	0	1	0	2
7412250	7412257	0	0	0	1
7413508	7413516	0	0	0	2
9117802	9117810	0	0	0	1
9581340	9581347	0	0	0	1
9581763	9581772	0	0	0	1
9641629	9641964	2	0	1	2
11551573	11551581	0	0	0	2
11556891	11556898	0	0	0	1
11578731	11578739	0	0	0	1
11581887	11581905	0	1	0	2
11588606	11588624	0	0	1	1
11591773	11591781	0	0	0	2
11625331	11625338	0	0	0	2
11738991	11739001	0	0	0	1
11960832	11960839	0	0	0	1
12175509	12175523	0	0	0	1
12557878	12557888	0	0	0	1
